"pitches","player_id","player_name","total_pitches","pitch_percent","ba","iso","babip","slg","woba","xwoba","xba","hits","abs","launch_speed","launch_angle","spin_rate","velocity","effective_speed","whiffs","swings","takes","eff_min_vel","release_extension","pos3_int_start_distance","pos4_int_start_distance","pos5_int_start_distance","pos6_int_start_distance","pos7_int_start_distance","pos8_int_start_distance","pos9_int_start_distance","pitcher_run_exp","run_exp","bat_speed","swing_length","miss_distance","pa","bip","singles","doubles","triples","hrs","so","k_percent","bb","bb_percent","api_break_z_with_gravity","api_break_z_induced","api_break_x_arm","api_break_x_batter_in","hyper_speed","bbdist","hardhit_percent","barrels_per_bbe_percent","barrels_per_pa_percent","release_pos_z","release_pos_x","plate_x","plate_z","obp","barrels_total","batter_run_value_per_100","xobp","xslg","pitcher_run_value_per_100","xbadiff","xobpdiff","xslgdiff","wobadiff","swing_miss_percent","arm_angle","attack_angle","attack_direction","swing_path_tilt","rate_ideal_attack_angle","intercept_ball_minus_batter_pos_x_inches","intercept_ball_minus_batter_pos_y_inches"
566,687473,"Gusto, Ryan",566,100,0.246,0.123,0.298,0.37,0.303,0.321,0.26,34,138,89.8,14.5,2208,88.9,89.3,58,272,294,0.3999999999999915,6.5,113,149,111,148,305,328,299,"1.896","-1.896","70.4","7.1","3.531391935",151,107,24,6,1,3,31,20.5,11,7.3,2.36032,0.54756,0.2045,-0.09177,"91.8",154,43.925233644859816,8.411214953271028,5.960264900662252,5.81,-1.57,-0.08,2.36,0.311,9,"-0.334982332",0.324,0.405,"0.334982332",-0.014,-0.013000000000000012,-0.035,-0.018,21.3,"47.6",7.900267263880249,0.8777758171492923,31.279548149589186,0.4810606060606061,36.06601926046271,29.129280307138266
565,681402,"Varland, Gus",570,99.1,0.326,0.265,0.367,0.591,0.411,0.399,0.302,43,132,91.9,19.6,2244,92,92.69,61,282,283,0.7000000000000028,6.69,110,146,117,149,305,327,301,"-12.883","12.883","69.0","6.9","2.245179586",151,106,23,12,1,7,30,19.9,15,9.9,1.75408,0.95877,0.43062,-0.11827,"92.7",198,50.476190476190474,16.19047619047619,11.258278145695364,5.32,-1.25,0.1,2.49,0.387,17,"2.280176991",0.369,0.576,"-2.280176991",0.024,0.018000000000000016,0.015,0.012,21.6,"51.2",6.92047618494384,0.627363818184365,29.985501829060347,0.509090909090909,36.82196752883272,29.138438330165354
564,668390,"Winn, Cole",565,99.8,0.266,0.217,0.307,0.483,0.341,0.34,0.276,38,143,87.8,12.4,2386,90.6,91.66,85,306,258,1.1000000000000085,6.92,111,149,115,149,301,327,302,"-3.973","3.973","69.9","7.3","3.136903561",156,109,23,6,2,7,36,23.1,10,6.4,2.16415,0.6259,0.26386,-0.13059,"91.8",165,44.03669724770643,7.339449541284404,5.128205128205128,5.45,-1.84,-0.09,2.38,0.316,8,"0.704432624",0.329,0.458,"-0.704432624",-0.01,-0.013000000000000012,0.025,0.001,27.8,"39.4",9.626293353563193,-0.6580108303820136,31.416859434230417,0.5185185185185185,38.06801013231625,30.115364593350233
562,669270,"Kuhnel, Joel",565,99.5,0.288,0.18,0.301,0.468,0.357,0.355,0.297,40,139,89.1,9.7,2287,92.8,93.4,60,265,297,0.6000000000000085,6.6,112,149,117,149,304,328,303,"-5.355","5.355","70.1","7.2","2.382163971",157,119,27,7,0,6,22,14,12,7.6,2.22436,0.43394,0.60986,-0.07731,"92.3",126,40.17094017094017,5.982905982905983,4.45859872611465,6.31,-1.15,-0.09,2.12,0.357,7,"0.952846975",0.367,0.441,"-0.952846975",-0.009,-0.010000000000000009,0.027,0.002,22.6,"37.9",10.007838239995639,-1.474977685239372,34.47331640024849,0.6008403361344538,35.953638356005975,29.90205511799464
561,669456,"Bieber, Shane",561,100,0.27,0.246,0.277,0.516,0.378,0.407,0.307,33,122,89,8.1,2271,88.3,88.71,59,241,320,0.4000000000000057,6.55,114,149,115,150,293,324,297,"-4.563","4.563","71.8","7.4","4.076464611",141,101,17,9,0,7,22,15.6,18,12.8,2.46351,0.47679,0.48827,-0.12349,"92.8",147,45.54455445544555,10.891089108910892,7.801418439716312,5.59,-1.63,0.09,2.15,0.362,11,"0.813368984",0.394,0.554,"-0.813368984",-0.037,-0.03200000000000003,-0.038,-0.029,24.5,"38.9",10.761563685412161,-1.5235365009248303,31.415465286931415,0.5431034482758621,37.4351246546244,31.334558167838953
554,628452,"Iglesias, Raisel",555,99.8,0.23,0.122,0.304,0.353,0.275,0.269,0.221,32,139,87.6,19.3,2201,91.9,91.81,95,306,248,-0.10000000000000853,6.17,119,149,119,150,303,322,302,"6.348","-6.348","70.4","7.2","2.816601147",147,96,23,5,0,4,43,29.3,8,5.4,1.92747,0.7806,0.98368,-0.16181,"91.5",164,35.78947368421053,8.421052631578947,5.442176870748299,5.39,-1.82,0.08,2.17,0.272,8,"-1.145848375",0.263,0.351,"1.145848375",0.009,0.009000000000000008,0.002,0.006,31,"29.6",10.623949847471007,-2.8294442739429444,32.47229645808398,0.4769736842105263,36.50048312757667,30.686539228936176
552,518886,"Kimbrel, Craig",556,99.3,0.231,0.179,0.274,0.41,0.316,0.31,0.246,27,117,88.7,18,2334,91.5,91.95,67,271,281,0.4000000000000057,6.73,112,149,120,149,302,327,301,"0.748","-0.748","68.9","7.0","2.813442562",134,89,15,7,1,4,30,22.4,13,9.7,1.90681,0.85372,0.54754,-0.02978,"91.8",183,34.831460674157306,3.3707865168539324,2.2388059701492535,4.74,-3.16,0.13,2.55,0.316,3,"-0.135507246",0.329,0.374,"0.135507246",-0.015,-0.013000000000000012,0.036,0.006,24.7,"23.3",6.3309781337908975,2.2327149356972136,31.363621045237757,0.49063670411985016,36.5534949991796,26.64676628680553
552,701519,"Adams, Travis",552,100,0.242,0.177,0.305,0.419,0.327,0.319,0.238,30,124,84.8,11.3,2273,89.8,89.75,74,264,288,-0.09999999999999432,6.13,109,148,118,148,293,324,293,"-0.746","0.746","69.1","7.3","2.815827358",140,88,20,3,2,5,37,26.4,15,10.7,2.1548,0.67755,0.40398,-0.2626,"91.6",167,30.681818181818183,6.8181818181818175,4.285714285714286,5.92,-1.45,0.24,2.07,0.324,6,"0.135144928",0.321,0.403,"-0.135144928",0.004,0.0030000000000000027,0.016,0.008,28,"42.1",10.738811083080707,-5.822239571623211,32.41556979847288,0.5405405405405406,37.523308690390216,33.385870024816924
551,643410,"Leiter Jr., Mark",552,99.8,0.258,0.086,0.348,0.344,0.303,0.316,0.269,33,128,86.8,14.4,1661,85.7,86.03,77,254,297,0.29999999999999716,6.56,114,148,118,149,301,326,298,"4.008","-4.008","70.7","7.6","4.434891555",144,91,26,5,0,2,38,26.4,11,7.6,2.88508,0.29276,0.36257,-0.05841,"91.2",146,31.868131868131865,3.296703296703297,2.083333333333333,5.8,-1.14,-0.07,2.07,0.333,3,"-0.727404719",0.344,0.365,"0.727404719",-0.011,-0.010999999999999954,-0.021,-0.013,30.3,"46.4",13.945850241991854,-9.337383404549328,32.336610565311304,0.4703389830508475,36.91633281041785,36.58383955653073
551,621383,"Banks, Tanner",555,99.3,0.344,0.252,0.409,0.595,0.422,0.323,0.262,45,131,85.8,14.9,2182,87.3,86.29,64,276,275,-1,5.64,107,148,117,145,291,320,293,"-14.898","14.898","68.8","6.8","1.864106661",146,101,28,8,2,7,32,21.9,13,8.9,2.43612,0.57725,-0.15147,0.07693,"91.4",174,34,7.000000000000001,4.794520547945205,6.42,2.57,-0.1,2.53,0.4,7,"2.703811252",0.327,0.419,"-2.703811252",0.082,0.07300000000000001,0.176,0.099,23.2,"49.3",5.466599573938276,7.536026943665261,32.55293806160169,0.4354243542435424,35.96600049554508,25.799299487103852
551,592094,"Adam, Jason",551,100,0.242,0.161,0.258,0.403,0.308,0.288,0.224,30,124,87.3,11.5,2379,87.3,87.32,84,294,257,0,6.29,117,150,119,150,301,325,298,"0.994","-0.994","70.4","7.6","4.325137165",134,102,20,5,0,5,22,16.4,8,6,2.59118,0.42608,0.54364,-0.10756,"91.9",149,36.27450980392157,6.862745098039216,5.223880597014925,6.28,-1.09,-0.15,2.3,0.299,7,"-0.180399274",0.282,0.371,"0.180399274",0.018,0.017000000000000015,0.032,0.02,28.6,"35.0",14.00933607043417,-9.553504311385108,32.41034239916728,0.5474452554744526,37.85839429204861,35.14492485331955
551,608337,"Giolito, Lucas",554,99.5,0.281,0.132,0.304,0.412,0.369,0.357,0.262,32,114,89.3,19.3,1887,84.5,85.47,54,225,326,1,6.97,115,148,116,149,303,325,301,"-5.536","5.536","69.5","7.2","3.08899837",138,96,25,3,0,4,18,13,23,16.7,2.22071,1.02162,0.50058,-0.06485,"92.4",172,43.75,4.166666666666666,2.898550724637681,6.3,-1.41,0.09,2.3,0.406,4,"1.004718693",0.391,0.406,"-1.004718693",0.019,0.015000000000000013,0.006,0.012,24,"54.8",11.05584444884373,-4.2205794940732515,31.391160483940087,0.4343891402714932,36.74305539994452,32.379330933812
551,702474,"Paredes, Mike",552,99.8,0.269,0.201,0.27,0.47,0.351,0.349,0.279,36,134,91.1,15.7,2080,87.8,88.41,53,274,277,0.6000000000000085,6.55,111,146,117,148,298,325,294,"-4.946","4.946","71.3","7.3","3.077024712",154,118,23,5,2,6,19,12.3,13,8.4,2.38624,0.59815,-0.00266,-0.17197,"92.7",163,50.847457627118644,6.779661016949152,5.194805194805195,5.2,-1.48,0.17,2.27,0.342,8,"0.897640653",0.352,0.446,"-0.897640653",-0.01,-0.009999999999999953,0.024,0.002,19.3,"37.2",12.155901471014399,-4.79233335577355,32.40771355440052,0.5131086142322098,36.55497377897293,31.942892603621267
549,676477,"Whitlock, Garrett",549,100,0.2,0.1,0.258,0.3,0.234,0.262,0.23,28,140,86.7,14.4,2126,90.6,92.17,89,317,232,1.6000000000000085,7.24,112,150,117,149,290,318,292,"7.709","-7.709","68.7","7.1","3.950344896",148,101,20,5,0,3,41,27.7,6,4.1,2.09974,0.7109,0.764,-0.2495,"90.6",161,33.663366336633665,3.9603960396039604,2.7027027027027026,5.94,-0.96,0.24,2.27,0.231,4,"-1.404189435",0.261,0.336,"1.404189435",-0.03,-0.03,-0.036,-0.028,28.1,"42.3",7.946076639513312,1.7481717531270344,32.793662360663106,0.42948717948717946,36.676810952865864,29.329527414122946
547,573204,"Thielbar, Caleb",553,98.9,0.214,0.222,0.246,0.436,0.308,0.318,0.216,25,117,87.9,21.9,2395,86.2,86.03,83,287,260,-0.20000000000000284,6.2,109,151,117,151,299,323,298,"-0.057","0.057","68.9","7.3","3.132210446",130,78,15,2,0,8,40,30.8,12,9.2,2.69845,0.43729,-0.23521,-0.09927,"91.3",163,40.25974025974026,14.285714285714285,8.461538461538462,6.12,0.02,-0.19,2.33,0.287,11,"0.010420475",0.29,0.462,"-0.010420475",-0.002,-0.0030000000000000027,-0.026,-0.01,28.9,"54.6",11.517302036358085,-4.180614109868579,31.812918655097537,0.5373665480427047,36.94811808709589,31.67633270351673
546,683175,"Phillips, Connor",547,99.8,0.208,0.149,0.254,0.356,0.346,0.377,0.24,21,101,89.8,20.7,2478,92.1,91.32,59,220,326,-0.7999999999999972,6.04,109,148,114,148,292,323,292,"-3.564","3.564","69.6","7.3","6.332949148",133,74,13,4,1,3,28,21.1,28,21.1,2.01534,0.73638,-0.22049,-0.24455,"91.8",179,40.54054054054054,9.45945945945946,5.263157894736842,5.68,-1.71,0.2,2.06,0.391,7,"0.652747253",0.418,0.407,"-0.652747253",-0.032,-0.02699999999999997,-0.051,-0.031,26.8,"37.2",11.011419571327425,-4.265253841991441,32.43993210178269,0.4036697247706422,37.98754726046358,32.454033056469875
546,681870,"Sabrowski, Erik",554,98.6,0.178,0.15,0.286,0.327,0.282,0.265,0.153,19,107,91.2,24.5,2570,90.6,90.91,80,252,294,0.30000000000001137,6.63,108,151,119,147,297,325,300,"2.755","-2.755","68.9","7.1","3.665632795",130,59,10,5,1,3,50,38.5,21,16.2,1.88018,0.94316,0.43087,-0.13046,"91.3",181,41.37931034482759,10.344827586206897,4.615384615384616,6,1.33,-0.03,2.47,0.308,6,"-0.504578755",0.294,0.284,"0.504578755",0.025,0.014000000000000012,0.043,0.017,31.7,"45.6",8.464640144383655,-1.4735741635868218,30.693038392172543,0.5327868852459017,36.13806853514598,30.37344175754281
546,664208,"Maton, Phil",546,100,0.306,0.207,0.372,0.514,0.398,0.389,0.294,34,111,87.4,8.1,2700,84.6,85.66,66,257,289,1.1000000000000085,6.96,108,149,116,150,300,327,300,"-8.057","8.057","70.1","7.1","3.041010548",136,84,23,4,2,5,31,22.8,16,11.8,3.01844,0.23038,-0.48476,-0.16528,"91.4",156,42.857142857142854,11.904761904761903,7.352941176470589,5.1,-1.41,0.09,2.34,0.407,10,"1.475641026",0.402,0.487,"-1.475641026",0.012,0.004999999999999949,0.027,0.009,25.7,"25.0",7.176900814252813,-1.7047978246729898,32.22771211252143,0.43673469387755104,37.115256138038966,31.91373686256003
544,656234,"Bird, Jake",545,99.8,0.298,0.174,0.364,0.471,0.369,0.341,0.254,36,121,89.4,11.8,2555,89,88.25,60,224,320,-0.7999999999999972,5.92,107,148,123,149,293,325,288,"-4.929","4.929","69.6","7.2","2.611070546",139,92,23,9,0,4,31,22.3,11,7.9,2.63202,0.30096,-0.09355,0.02083,"92.4",144,38.04347826086957,9.782608695652174,6.474820143884892,5.26,-2.96,-0.04,2.37,0.374,9,"0.906066176",0.337,0.441,"-0.906066176",0.044,0.03699999999999998,0.03,0.028,26.8,"18.6",10.83899715894575,-3.808247533839201,31.862206683033826,0.5315315315315315,36.75325977254028,31.092935904501495
543,687377,"Ribalta, Orlando",543,100,0.216,0.126,0.266,0.342,0.282,0.291,0.205,24,111,84.4,16.4,2294,91.4,91.64,74,280,263,0.19999999999998863,6.41,111,146,118,148,302,326,303,"3.323","-3.323","69.0","7.4","3.068602552",125,83,16,5,0,3,30,24,12,9.6,1.85541,0.89626,0.42194,0.04869,"90.9",154,33.734939759036145,7.228915662650602,4.8,6.56,-2.02,-0.12,2.32,0.29,6,"-0.611970534",0.28,0.381,"0.611970534",0.011,0.009999999999999953,-0.039,-0.009,26.4,"42.9",11.586681499858956,-5.0365736469686,30.821934360056886,0.5238095238095238,37.004211651845935,32.22319408237774
542,657612,"Hill, Tim",549,98.7,0.255,0.168,0.248,0.423,0.322,0.328,0.261,38,149,88.8,-4,2100,86.8,86.79,36,275,267,0,6.53,109,146,117,148,285,318,289,"-1.672","1.672","69.4","6.7","1.182011559",166,133,27,4,0,7,18,10.8,10,6,3.38419,-0.30489,1.101,0.25519,"92.8",113,44.3609022556391,6.7669172932330826,5.421686746987952,3.16,3.91,0.33,2.38,0.321,9,"0.308487085",0.327,0.429,"-0.308487085",-0.006,-0.006000000000000005,-0.006,-0.006,13.1,"-21.5",2.6220553581077968,5.58452465083473,32.79114271437643,0.3694029850746269,35.65145601641147,25.725066329411902
541,663362,"Waldron, Matt",541,100,0.319,0.237,0.356,0.556,0.393,0.306,0.24,43,135,87.3,15.1,1600,86.3,86.95,46,267,274,0.6000000000000085,6.63,117,148,117,150,302,325,298,"-9.431","9.431","69.0","6.9","1.762240431",147,109,27,7,2,7,28,19,8,5.4,2.58817,0.50111,0.18675,0.08263,"91.7",144,40.36697247706422,6.422018348623854,4.761904761904762,5.48,-1.07,0.09,2.44,0.363,7,"1.743253235",0.293,0.403,"-1.743253235",0.079,0.07,0.153,0.087,17.2,"29.4",7.689373134564915,0.788269400232044,32.46866300977514,0.46511627906976744,35.348780992896685,28.50801655255906
540,676775,"Winn, Keaton",544,99.3,0.211,0.094,0.255,0.305,0.273,0.298,0.233,27,128,85.4,6,1956,92.4,92.5,62,261,279,0.09999999999999432,6.25,112,149,115,147,293,319,298,"4.808","-4.808","69.9","7.3","3.100128565",145,101,19,6,0,2,28,19.3,14,9.7,2.22576,0.44909,0.98035,0.11275,"91.4",132,30.693069306930692,3.9603960396039604,2.7586206896551726,6.17,-1.46,0.05,2.2,0.299,4,"-0.89037037",0.319,0.348,"0.89037037",-0.022,-0.020000000000000018,-0.043,-0.025,23.8,"39.1",9.023436790047201,-3.3044357077178246,32.4350700806471,0.48638132295719844,36.91622572509778,30.334229359004716
539,663992,"Lovelady, Richard",552,97.6,0.286,0.16,0.341,0.445,0.37,0.361,0.282,34,119,85.1,9.1,2399,87,88.56,55,240,299,1.5999999999999943,7.28,108,148,115,149,304,325,299,"-5.887","5.887","68.6","6.9","3.009743873",146,95,23,7,0,4,27,18.5,21,14.4,2.70593,0.33925,-0.12074,0.13061,"91.6",154,33.33333333333333,6.451612903225806,4.10958904109589,5.32,2.52,0.09,2.26,0.406,6,"1.092207792",0.404,0.422,"-1.092207792",0.004,0.0020000000000000018,0.023,0.009,22.9,"20.2",4.437590985936918,5.2029149438428925,33.045790896287436,0.36752136752136755,35.96065086224208,28.15066139317299
539,669084,"Hall, DL",539,100,0.14,0.06,0.191,0.2,0.255,0.307,0.203,14,100,86.2,11.2,2299,89.4,90.27,63,213,326,0.8999999999999915,6.93,111,149,119,149,297,322,298,"5.276","-5.276","68.5","7.2","4.74427312",126,69,10,3,0,1,32,25.4,24,19,2.45787,0.44401,0.479,-0.31599,"90.8",142,30.88235294117647,5.88235294117647,3.1746031746031744,5.49,2.69,-0.1,2.27,0.31,4,"-0.978849722",0.361,0.286,"0.978849722",-0.063,-0.05099999999999999,-0.086,-0.052,29.6,"44.1",8.814564095190152,-0.7722950493464315,30.50314093109986,0.45933014354066987,38.828612537160936,29.822278264109038
539,669622,"Bender, Anthony",543,99.3,0.169,0.056,0.241,0.226,0.224,0.254,0.194,21,124,88.4,12.2,2635,88.3,86.87,52,217,322,-1.3999999999999915,5.6,113,149,114,148,302,324,296,"8.832","-8.832","68.2","7.3","6.00948931",140,84,16,4,0,1,41,29.3,12,8.6,2.81241,0.17493,-0.41471,-0.26904,"91.4",150,33.33333333333333,7.142857142857142,4.285714285714286,5.43,-2.09,0.11,2.29,0.257,6,"-1.638589981",0.279,0.283,"1.638589981",-0.025,-0.02200000000000002,-0.057,-0.03,24,"15.3",9.059956043988809,-0.48939932213823106,31.956442176642344,0.43333333333333335,38.24694034212588,29.607110014411848
536,623474,"Herget, Jimmy",544,98.5,0.315,0.225,0.37,0.541,0.395,0.334,0.244,35,111,87.3,18.4,2588,85.1,83.52,69,251,285,-1.5999999999999943,5.12,109,147,115,146,299,327,296,"-7.299","7.299","69.9","7.5","3.063179584",135,88,20,10,0,5,29,21.5,16,11.9,2.84657,0.32848,0.05522,-0.07793,"91.9",165,39.77272727272727,11.363636363636363,7.4074074074074066,5.03,-2.62,0.01,2.33,0.398,10,"1.361753731",0.345,0.426,"-1.361753731",0.071,0.05300000000000005,0.115,0.061,27.5,"4.4",12.84593888851352,-9.038199116850969,32.719477551397794,0.4959349593495935,38.53276218866251,34.42230134380119
533,641745,"Keller, Brad",533,100,0.246,0.119,0.298,0.364,0.309,0.284,0.226,29,118,85.5,12.7,2396,92.7,92.44,54,240,293,-0.29999999999999716,6.06,110,149,117,147,290,321,297,"2.069","-2.069","69.2","7.0","3.162704584",135,88,23,2,0,4,32,23.7,13,9.6,2.12152,0.54683,0.06521,-0.12362,"90.7",158,32.18390804597701,4.597701149425287,2.9629629629629632,6.32,-1.36,-0.15,2.36,0.326,4,"-0.388180113",0.311,0.313,"0.388180113",0.02,0.015000000000000013,0.051,0.025,22.5,"48.9",6.263784907162339,4.086857795181997,32.194487547653985,0.4810126582278481,37.59432463514822,27.42268079428303
533,690925,"Beeter, Clayton",541,98.5,0.184,0.158,0.211,0.342,0.29,0.308,0.205,21,114,87.4,3.2,2593,90.9,90.61,67,236,297,-0.30000000000001137,5.95,112,147,116,150,304,328,301,"2.63","-2.63","67.3","7.1","4.165499631",139,83,13,3,0,5,34,24.5,20,14.4,2.26743,0.50092,-0.00015,-0.00391,"91.2",150,41.46341463414634,6.097560975609756,3.597122302158273,6.02,-1.12,0.02,2.26,0.314,5,"-0.493433396",0.337,0.343,"0.493433396",-0.021,-0.02300000000000002,-0.001,-0.018,28.4,"51.9",7.207059696928432,2.332650705613159,33.13954264186298,0.41025641025641024,36.06492546907617,28.016207592024152
533,572955,"Johnson, Pierce",533,100,0.239,0.222,0.256,0.462,0.332,0.371,0.278,28,117,90.3,15.8,2642,89.6,88.66,57,244,289,-0.8999999999999915,5.69,108,147,113,146,295,322,291,"-0.638","0.638","68.9","7.2","3.863921513",133,93,15,6,1,6,27,20.3,13,9.8,2.61567,0.2425,-0.0437,-0.05683,"91.5",175,41.75824175824176,13.186813186813188,9.022556390977442,6.16,-1.33,0.01,2.39,0.311,12,"0.119699812",0.346,0.524,"-0.119699812",-0.039,-0.034999999999999976,-0.062,-0.039,23.4,"41.4",8.652077112468818,0.3197237339823985,32.62462283728404,0.548936170212766,37.95215024274421,28.611481148601715
533,665660,"Alvarado, Elvis",533,100,0.232,0.259,0.275,0.491,0.346,0.352,0.224,26,112,89.9,13.6,2307,95.6,94.69,86,280,253,-0.8999999999999915,5.87,111,147,115,148,298,325,297,"-5.536","5.536","70.8","7.3","2.334606692",127,76,11,8,0,7,37,29.1,13,10.2,1.68902,0.84191,0.8527,0.00862,"91.9",186,51.31578947368421,18.421052631578945,11.023622047244094,5.71,-2.34,-0.09,2.51,0.315,14,"1.038649156",0.313,0.49,"-1.038649156",0.008,0.0020000000000000018,0.001,-0.006,30.7,"21.2",8.835764578314475,1.457353312953226,32.29512123050165,0.4897959183673469,36.50692050341709,28.365792778017983
532,666974,"Cano, Yennier",532,100,0.203,0.06,0.252,0.263,0.23,0.272,0.219,27,133,89.1,1.8,2001,92.5,91.62,67,251,281,-0.9000000000000057,5.9,109,150,114,146,298,321,295,"7.819","-7.819","70.0","7.3","2.08827994",142,104,21,5,0,1,30,21.1,7,4.9,2.87015,-0.18184,0.86145,0.0534,"92.4",96,41,6,4.225352112676056,5.48,-2.39,0.02,1.86,0.246,6,"-1.469736842",0.269,0.342,"1.469736842",-0.016,-0.02300000000000002,-0.079,-0.042,26.7,"16.8",7.307027323184588,1.1508355027316417,34.77021954629366,0.5564516129032258,35.43550902866738,28.111147701234156
530,680802,"Weiss, Ryan",530,100,0.315,0.252,0.37,0.568,0.425,0.379,0.269,35,111,90.3,16.8,2311,89.9,89.76,56,236,294,-0.10000000000000853,6.41,110,148,116,150,296,329,294,"-13.045","13.045","69.9","7.2","4.121425758",131,81,24,2,1,8,30,22.9,20,15.3,2.25758,0.6176,0.03815,-0.03472,"92.2",170,49.382716049382715,11.11111111111111,6.870229007633588,5.91,-2.31,0.01,2.16,0.42,9,"2.461320755",0.381,0.488,"-2.461320755",0.046,0.03899999999999998,0.08,0.046,23.7,"41.0",10.300400448891718,-2.063346355616105,33.07791523619013,0.4956521739130435,36.98309636489969,30.506987812770767
529,622088,"Antone, Tejay",533,99.2,0.187,0.146,0.213,0.333,0.261,0.283,0.21,23,123,86.1,13.4,2769,86.5,86.38,67,255,274,-0.09999999999999432,6.22,109,148,114,147,297,324,291,"6.513","-6.513","68.5","7.3","4.235321107",138,95,14,4,1,4,30,21.7,9,6.5,2.84461,0.22835,-0.60731,-0.13383,"91.3",151,37.07865168539326,7.865168539325842,5.072463768115942,5.6,-1.89,0.3,2.18,0.259,7,"-1.231190926",0.283,0.36,"1.231190926",-0.023,-0.023999999999999966,-0.027,-0.022,26.3,"27.0",10.272447820021567,-2.9355731142479375,33.37225268608818,0.4637096774193548,37.652094517631014,31.544926121690565
528,664991,"Wolfram, Grant",533,99.1,0.264,0.136,0.356,0.4,0.317,0.283,0.233,33,125,85.3,10.7,2325,92.2,92,63,258,270,-0.20000000000000284,6.2,109,148,114,147,294,320,297,"0.172","-0.172","67.3","6.9","3.002409954",140,93,20,10,2,1,35,25,8,5.7,2.0672,0.63727,0.48268,0.0642,"91.1",143,37.634408602150536,5.376344086021505,3.571428571428571,6.2,2.14,-0.1,2.37,0.326,5,"-0.032575758",0.298,0.343,"0.032575758",0.031,0.028000000000000025,0.057,0.034,24.4,"41.7",4.789637126870089,-0.6828345286486633,32.64384132239435,0.43873517786561267,35.43357344863731,28.82882254944902
528,664076,"Cleavinger, Garrett",531,99.4,0.227,0.164,0.304,0.391,0.301,0.294,0.22,25,110,85.8,13,2568,90,89.58,66,245,283,-0.4000000000000057,6.08,106,151,114,149,303,334,300,"-0.472","0.472","69.7","7.3","3.508781983",130,73,16,4,1,4,42,32.3,14,10.8,2.39417,0.46362,0.08265,-0.0525,"92.2",153,41.0958904109589,8.21917808219178,4.615384615384616,5.16,1.2,-0.3,2.14,0.308,6,"0.089393939",0.308,0.353,"-0.089393939",0.007,0,0.038,0.007,26.9,"30.5",9.674639888446974,-4.696191328753517,32.5399328184723,0.4149377593360996,35.15542000686233,32.79747156299257
526,657424,"Gage, Matt",527,99.8,0.267,0.238,0.278,0.505,0.376,0.352,0.257,28,105,86.1,11.5,2069,87.7,88,61,250,276,0.29999999999999716,6.33,109,149,117,147,295,321,296,"-5.296","5.296","68.7","7.1","2.859375949",126,86,16,5,1,6,22,17.5,17,13.5,2.35059,0.62012,0.09996,-0.14034,"90.9",160,31.3953488372093,10.465116279069768,7.142857142857142,6.42,0.9,-0.29,2.3,0.368,9,"1.006844106",0.363,0.43,"-1.006844106",0.01,0.0050000000000000044,0.075,0.024,24.4,"49.0",7.029650197418137,2.4036610681649377,32.09049275863565,0.44081632653061226,36.52678811849467,28.78959311879037
518,682227,"Williamson, Brandon",518,100,0.255,0.176,0.268,0.431,0.36,0.389,0.276,26,102,88.1,18.7,2256,86.8,86.14,54,224,294,-0.7000000000000028,5.99,105,150,114,146,296,323,285,"-4.988","4.988","69.9","7.2","2.791416962",128,86,17,4,1,4,19,14.8,20,15.6,2.38137,0.70181,0.28869,-0.41247,"91.8",174,41.86046511627907,10.465116279069768,7.03125,6.51,1.16,-0.02,2.41,0.383,9,"0.962934363",0.404,0.486,"-0.962934363",-0.021,-0.02100000000000002,-0.055,-0.029,24.1,"42.3",10.781483778949429,-4.021105853186067,31.681866913158856,0.4863636363636364,37.06938294185044,31.593947759396325
518,676979,"Crochet, Garrett",518,100,0.27,0.197,0.35,0.467,0.358,0.344,0.262,33,122,89,13.4,2406,92.3,92.95,61,254,264,0.7000000000000028,6.79,109,151,118,146,291,317,284,"-7.244","7.244","69.8","7.1","2.090462209",138,86,19,9,0,5,37,26.8,11,8,1.94606,0.76544,0.36418,-0.21083,"92.0",160,46.42857142857143,10.714285714285714,6.521739130434782,6.08,2.45,0.17,2.47,0.35,9,"1.398455598",0.344,0.442,"-1.398455598",0.008,0.006000000000000005,0.025,0.014,24,"31.8",7.94364288608089,2.79621512365162,31.61815008390924,0.46153846153846156,36.76618769615336,27.588703978774088
516,806188,"Gibson, Cade",520,99.2,0.272,0.087,0.333,0.359,0.325,0.303,0.247,28,103,85.3,8,2795,84.8,84.06,47,231,285,-0.7000000000000028,5.87,106,146,113,145,301,322,294,"-1.427","1.427","68.1","7.2","2.987737932",127,84,21,6,0,1,25,19.7,13,10.2,3.27535,-0.05533,-0.43762,-0.12471,"91.6",130,35.714285714285715,2.380952380952381,1.574803149606299,5.62,1.49,-0.28,2.2,0.368,2,"0.276550388",0.35,0.318,"-0.276550388",0.025,0.018000000000000016,0.041,0.022,20.3,"31.4",9.56692948878489,-0.46662546205555533,32.31677065498756,0.5111111111111111,37.953005719769564,29.71373406642676
