"pitches","player_id","player_name","total_pitches","pitch_percent","ba","iso","babip","slg","woba","xwoba","xba","hits","abs","launch_speed","launch_angle","spin_rate","velocity","effective_speed","whiffs","swings","takes","eff_min_vel","release_extension","pos3_int_start_distance","pos4_int_start_distance","pos5_int_start_distance","pos6_int_start_distance","pos7_int_start_distance","pos8_int_start_distance","pos9_int_start_distance","pitcher_run_exp","run_exp","bat_speed","swing_length","miss_distance","pa","bip","singles","doubles","triples","hrs","so","k_percent","bb","bb_percent","api_break_z_with_gravity","api_break_z_induced","api_break_x_arm","api_break_x_batter_in","hyper_speed","bbdist","hardhit_percent","barrels_per_bbe_percent","barrels_per_pa_percent","release_pos_z","release_pos_x","plate_x","plate_z","obp","barrels_total","batter_run_value_per_100","xobp","xslg","pitcher_run_value_per_100","xbadiff","xobpdiff","xslgdiff","wobadiff","swing_miss_percent","arm_angle","attack_angle","attack_direction","swing_path_tilt","rate_ideal_attack_angle","intercept_ball_minus_batter_pos_x_inches","intercept_ball_minus_batter_pos_y_inches"
68,694753,"Curtis, Khristian",68,100,0.133,0,0.182,0.133,0.187,0.327,0.246,2,15,87.5,2.8,2533,90,90.69,8,31,37,0.7000000000000028,6.75,116,147,112,150,293,316,304,"1.903","-1.903","67.2","7.1","1.116162546",17,11,2,0,0,0,4,23.5,2,11.8,2.01044,0.83765,0.24559,-0.26088,"91.0",138,27.27272727272727,9.090909090909092,5.88235294117647,5.9,-1.72,0.05,2.41,0.235,1,"-2.798529412",0.335,0.399,"2.798529412",-0.113,-0.10000000000000003,-0.266,-0.14,25.8,"47.5",8.531830662549458,-0.4267478966821566,30.849861047247888,0.7096774193548387,37.284626837839845,31.00629588990113
65,642048,"Saucedo, Tayler",65,100,0.357,0.357,0.571,0.714,0.471,0.31,0.21,5,14,87.3,5.3,2334,88.2,88.52,13,34,31,0.29999999999999716,6.7,112,150,116,150,305,327,302,"-1.634","1.634","69.1","7.4","3.268852076",15,8,2,2,0,1,6,40,0,0,2.37954,0.59123,0.4573,-0.55825,"91.8",160,50,25,13.333333333333334,5.38,2.07,-0.18,2.07,0.4,2,"2.513846154",0.263,0.456,"-2.513846154",0.147,0.137,0.258,0.161,38.2,"24.6",12.800762854618169,-5.456593065718076,30.46639699897367,0.6060606060606061,39.64762970870526,33.364376111848635
65,699151,"Paez, Jedixson",65,100,0.333,0.5,0.182,0.833,0.497,0.492,0.352,4,12,95.3,23.7,2288,88.1,88.34,5,30,35,0.20000000000000284,6.75,110,146,124,146,300,320,302,"-2.845","2.845","73.1","7.4","7.364512098",16,13,2,0,0,2,0,0,3,18.8,2.24662,0.74662,0.60077,-0.26015,"93.0",193,46.15384615384615,23.076923076923077,18.75,5.71,-3.12,0.1,2.57,0.438,3,"4.376923077",0.453,0.786,"-4.376923077",-0.019,-0.015000000000000013,0.047,0.005,16.7,"39.1",13.27989365266348,-2.723870550513692,29.704366040459036,0.5666666666666667,37.30897757781538,32.401103571457725
64,669169,"Heasley, Jonathan",64,100,0.421,0.421,0.4,0.842,0.534,0.479,0.352,8,19,95.1,16.8,1959,86.3,86.13,3,38,26,-0.20000000000000284,6.31,106,147,122,143,307,333,303,"-2.557","2.557","70.9","7.3","1.115174857",19,17,4,2,0,2,2,10.5,0,0,2.635,0.47032,0.36094,-0.01781,"93.4",193,58.82352941176471,11.76470588235294,10.526315789473683,5.92,-1.34,0.08,2.38,0.421,2,"3.9953125",0.352,0.791,"-3.9953125",0.069,0.069,0.051,0.055,7.9,"52.6",12.497940509388153,-4.092204182763256,32.618202102351276,0.6756756756756757,35.62258298791365,31.363277689122892
63,676130,"Buttó, José",63,100,0.5,0.583,0.8,1.083,0.675,0.494,0.319,6,12,84.2,10.9,2375,90.6,90.35,9,22,41,-0.19999999999998863,6.29,118,150,116,147,292,324,298,"-4.647","4.647","65.8","7.2","3.175398323",16,7,3,1,0,2,5,31.3,4,25,2.05698,0.74968,0.66556,0.12905,"92.2",189,42.857142857142854,14.285714285714285,6.25,5.41,-2.19,-0.09,2.66,0.625,1,"7.376190476",0.489,0.689,"-7.376190476",0.181,0.136,0.394,0.181,40.9,"38.0",8.21001163586257,4.912421266328053,31.15048908781785,0.38095238095238093,37.67277323455224,27.69853672441168
63,543510,"McCann, James",63,100,0.474,0.263,0.421,0.737,0.521,0.627,0.467,9,19,94.9,8,870,38.8,36.69,2,28,35,-2.0999999999999943,4.48,122,146,130,152,303,322,304,"-4.761","4.761","74.3","7.4","0.840473682",23,20,6,2,0,1,0,0,3,13,15.07193,1.87018,0.24286,-0.16464,"97.0",198,42.10526315789473,21.052631578947366,17.391304347826086,6.94,-0.73,-0.61,2.38,0.522,4,"7.557142857",0.521,1.079,"-7.557142857",0.007,0.0010000000000000009,-0.342,-0.106,7.1,"58.9",19.328158279106997,-10.531348579126442,29.167471637096384,0.36363636363636365,35.34284801040795,36.184868258071795
61,665665,"Sanmartin, Reiver",61,100,0.286,0.643,0.143,0.929,0.514,0.455,0.313,4,14,90.5,0.3,2294,88.1,88.63,4,23,38,0.5,6.53,116,152,126,151,305,323,297,"-1.903","1.903","70.7","7.3","0.779374779",15,10,1,0,0,3,4,26.7,1,6.7,2.81426,0.13424,0.86246,-0.63918,"92.6",159,60,30,20,5.19,3.16,-0.03,1.88,0.333,3,"3.119672131",0.359,0.731,"-3.119672131",-0.027,-0.025999999999999968,0.198,0.059,17.4,"21.0",7.489668130081688,-0.36853447703251696,34.10642037708945,0.43478260869565216,37.66909871955325,29.369576623922754
61,678576,"Ramos, Wilkin",61,100,0.455,0.091,0.5,0.545,0.507,0.459,0.388,5,11,89.5,4.1,2110,91.7,93.75,6,23,38,2,7.49,112,147,111,147,297,313,302,"-2.177","2.177","65.2","6.7","4.171307742",15,10,4,1,0,0,1,6.7,4,26.7,2.50393,0.27467,1.08639,-0.25721,"92.7",130,50,0,0,5.41,-2.33,-0.17,2.34,0.6,0,"3.568852459",0.551,0.47,"-3.568852459",0.067,0.04899999999999993,0.075,0.048,26.1,"30.1",2.1602387006555497,10.29839634171664,30.163296211829692,0.30434782608695654,34.85695351791874,21.77654220991604
59,802408,"Mautz, Brycen",59,100,0.333,0.083,0.4,0.417,0.38,0.317,0.249,4,12,90,15.2,2296,88.8,89.05,4,23,36,0.20000000000000284,6.46,103,143,107,142,305,312,285,"-0.695","0.695","68.7","7.0","1.89602064",14,10,3,1,0,0,2,14.3,2,14.3,2.46542,0.47169,0.64695,0.02729,"91.5",217,20,0,0,5.33,3.12,-0.21,2,0.429,0,"1.177966102",0.356,0.339,"-1.177966102",0.084,0.07300000000000001,0.078,0.063,17.4,"24.0",6.350759871444922,2.1368325461281983,32.62165471176108,0.6086956521739131,34.35715678190313,26.95503769322538
59,695049,"Kerry, Brett",59,100,0.2,0.067,0.231,0.267,0.233,0.279,0.257,3,15,84.1,19.3,2142,87.7,88.01,5,28,31,0.29999999999999716,6.54,110,149,118,151,314,332,305,"0.181","-0.181","67.1","7.0","1.697448018",16,13,2,1,0,0,2,12.5,1,6.3,2.06508,0.94508,0.45627,-0.07254,"91.4",141,30.76923076923077,0,0,5.93,-1.61,-0.2,2.55,0.25,0,"-0.306779661",0.304,0.319,"0.306779661",-0.057,-0.05399999999999999,-0.052,-0.046,17.9,"50.2",8.5130924279025,3.9089018652464858,31.693957107872485,0.5,36.581486182777915,28.9619436538799
