"last_name, first_name","player_id","year","player_age","k_percent","bb_percent","in_zone_percent","whiff_percent","groundballs_percent","flyballs_percent","popups_percent","pitch_hand","arm_angle","n_ff_formatted","ff_avg_speed","ff_avg_spin","ff_avg_break_x","ff_avg_break_z","ff_avg_break_z_induced","ff_avg_break","ff_range_speed","n_sl_formatted","sl_avg_speed","sl_avg_spin","sl_avg_break_x","sl_avg_break_z","sl_avg_break_z_induced","sl_avg_break","sl_range_speed","n_ch_formatted","ch_avg_speed","ch_avg_spin","ch_avg_break_x","ch_avg_break_z","ch_avg_break_z_induced","ch_avg_break","ch_range_speed","n_cu_formatted","cu_avg_speed","cu_avg_spin","cu_avg_break_x","cu_avg_break_z","cu_avg_break_z_induced","cu_avg_break","cu_range_speed","n_si_formatted","si_avg_speed","si_avg_spin","si_avg_break_x","si_avg_break_z","si_avg_break_z_induced","si_avg_break","si_range_speed","n_fc_formatted","fc_avg_speed","fc_avg_spin","fc_avg_break_x","fc_avg_break_z","fc_avg_break_z_induced","fc_avg_break","fc_range_speed","n_fs_formatted","fs_avg_speed","fs_avg_spin","fs_avg_break_x","fs_avg_break_z","fs_avg_break_z_induced","fs_avg_break","fs_range_speed","n_kn_formatted","kn_avg_speed","kn_avg_spin","kn_avg_break_x","kn_avg_break_z","kn_avg_break_z_induced","kn_avg_break","kn_range_speed","n_st_formatted","st_avg_speed","st_avg_spin","st_avg_break_x","st_avg_break_z","st_avg_break_z_induced","st_avg_break","st_range_speed","n_sv_formatted","sv_avg_speed","sv_avg_spin","sv_avg_break_x","sv_avg_break_z","sv_avg_break_z_induced","sv_avg_break","sv_range_speed","n_fo_formatted","fo_avg_speed","fo_avg_spin","fo_avg_break_x","fo_avg_break_z","fo_avg_break_z_induced","fo_avg_break","fo_range_speed","n_sc_formatted","sc_avg_speed","sc_avg_spin","sc_avg_break_x","sc_avg_break_z","sc_avg_break_z_induced","sc_avg_break","sc_range_speed"
"Lugo, Seth",607625,2026,36,18.2,8,52.1,18.5,41.6,30.8,4.6,"R",28.9,"15.7","91.7","2276","-8.7","-17.2","15.4","17.8","1.8","9","84.2","2665","5.1","-37.2","1.1","5.7","2","8.9","84.8","1718","-15.3","-34.8","3.2","15.9","1.7","18.3","75.9","3095","15.9","-59.9","-11.5","20.1","3.8","19.9","91.4","2346","-16.2","-24.8","7.9","18.2","1.6","16.2","89.8","2351","-0.5","-21.9","11.8","12","1.9",,,,,,,,,,,,,,,,,"10.4","79.1","2893","16.9","-43.9","0","17.1","2.3","1.6","77.3","2907","16.5","-52.2","-5.9","17.6","1.9",,,,,,,,,,,,,,,,
"Wacha, Michael",608379,2026,34,19.1,6.7,50.2,21.1,39,29.2,7.8,"R",53.2,"27.1","93.1","2153","-5.5","-13.5","18.1","19","1.3","8.6","84.9","2027","3","-34.1","3.6","5.7","1.4","24.7","80.6","1534","-13","-34.8","7.4","15.9","1.3","10.1","76","2295","12","-59.6","-11.9","17","1.3","14.7","93.2","2062","-11.9","-15.9","15.6","19.8","1.4","14.8","89.3","2151","1.6","-23.8","10.2","10.6","1.4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Abbott, Andrew",671096,2026,27,17.8,11,46.7,22.8,42.7,25.7,9.2,"L",51,"45.3","92.5","2342","6.8","-15.4","16.7","18.1","1",,,,,,,,,"18.7","85.9","1992","14.6","-28","9.1","17.3","1.2","13.3","79.7","2807","-9","-49.8","-6.8","11.6","1.1",,,,,,,,,"2","88.7","2611","-4.1","-27.1","7.4","8.6","1.3",,,,,,,,,,,,,,,,,"20.6","82.1","2855","-14","-41.8","-1","14.4","1.3",,,,,,,,,,,,,,,,,,,,,,,,
"Cease, Dylan",656302,2026,30,36.1,10.6,42.6,34.9,44.4,22.2,10,"R",53.1,"36.8","97.3","2469","-3.2","-10.5","18.5","18.8","1.6","29.6","89","2712","1.4","-31","3.4","4.2","1.5","11.4","82.3","1759","-8.5","-24.8","15.7","18","3.5","9.5","82.3","2689","2.5","-54.2","-13.7","14","1.9","8.5","96.1","2394","-11.3","-15.9","13.8","18","1.5",,,,,,,,,,,,,,,,,,,,,,,,,"4.2","83.6","2838","11.6","-48.4","-8.9","14.9","1.8",,,,,,,,,,,,,,,,,,,,,,,,
"Sale, Chris",519242,2026,37,30.6,5.7,49.5,30.7,45.2,23.6,6.2,"L",10.7,"40.8","96.1","2337","14.6","-19.9","9.8","17.7","1.9","39.4","79.5","2510","-12.5","-47.8","-4.3","13.4","2.3","11.3","88.4","1848","16.3","-35.3","-0.3","16.4","2.2",,,,,,,,,"8.5","95.6","2196","18","-27.7","2.3","18.3","1.8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ashcraft, Braxton",677952,2026,26,26.6,5.9,50.8,26.2,45.3,26,7.5,"R",38,"31.8","97.2","2352","-9.4","-13.5","15.4","18.1","1.1","23.2","91.7","2590","1","-27.8","4.5","5","1.5",,,,,,,,,"26.3","84.9","2726","6.6","-48.1","-10.3","12.5","1.3","13.9","96.9","2317","-16","-22.1","7.1","17.6","1.2",,,,,,,,,"4.9","91.8","1905","-14.8","-26.6","5.8","16","1.4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Kirby, George",669923,2026,28,20.6,5.2,49.8,22.2,45.5,26,7.2,"R",33.5,"29.2","96.6","2260","-9.2","-16","13.4","16.4","1.1",,,,,,,,,"7.3","88.7","1544","-14.1","-30.2","4.6","15.1","1.3","9.3","83.9","2370","9.3","-52.5","-13.4","16.4","1.2","21.1","96.9","2310","-16.5","-21.1","8.1","18.5","1.1","3.2","93.2","2333","-0.9","-21.2","10.2","10.4","1.4","0.2","87.3","935","-8.9","-29.5","6.3","11.2","1.5",,,,,,,,,"29.6","87.3","2374","11.2","-39.2","-3.2","12","1.4",,,,,,,,,,,,,,,,,,,,,,,,
"Pallante, Andre",669467,2026,27,17.1,7.4,48.5,21.4,56.1,17.5,4.7,"R",56.9,"32","95.2","2211","-0.6","-18.2","11.9","12.1","1.2","29.6","87.7","2309","4.8","-34.6","0.8","5.4","1.8",,,,,,,,,"17.6","78.5","2762","5","-61","-16.2","17.1","2","18","95.4","2100","-11.5","-16.1","13.9","18.2","1.2",,,,,,,,,"2.7","88.4","987","-8.5","-28.8","6.2","12","1.9",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Eovaldi, Nathan",543135,2026,36,24.7,5.8,47.5,30.5,49.2,24.9,5.3,"R",37.3,"13.7","94.5","2180","-11.8","-17.3","13.5","18","1.3","0.8","86.4","2095","4.2","-31.4","5","6.9","1.4",,,,,,,,,"22.4","76.4","1892","8.3","-55.3","-8.3","12","1.5","7.1","93.5","2128","-16.1","-21.4","10","19","1.1","19.3","90.3","2242","1.9","-23.3","10.2","10.6","1.4","36.7","88.5","1548","-12.9","-34.1","0.9","13.1","1.4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Roupp, Landen",694738,2026,27,23.6,10.9,41.8,25.3,51.8,21,4.7,"R",23.5,"4.9","92.9","2147","-10.8","-20.5","11.1","15.6","1",,,,,,,,,"21.2","87.1","1865","-15.3","-38.6","-2.6","15.6","1.1","26","76.7","3071","19.1","-55.4","-8.4","20.9","1","34.8","93.3","2059","-17.3","-28.4","3","17.6","1.1","13.2","89","2343","2.9","-28.6","5.7","7.1","1.7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
